timestamp,elapsed_s,drone_id,latitude,longitude,altitude_m,x_m,y_m,z_m,velocity_m_s,battery_percent,mode,status,armed,peer_positions_sent,recent_lora_packets,rssi_to_drone1_dbm,rssi_to_drone2_dbm,rssi_to_drone3_dbm,snr_to_drone1_db,snr_to_drone2_db,snr_to_drone3_db,link_status_to_drone1,link_status_to_drone2,link_status_to_drone3
1788859495.068,0.1,1,47.39797130,8.54596520,7.961,0.060,0.011,7.961,0.039,78.0,LOITER,active,1,1,0,,,,,,,,,
1788859495.068,0.1,2,47.39797090,8.54616370,12.229,0.028,-0.012,12.154,0.407,78.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859495.068,0.1,3,47.39797090,8.54636210,15.091,0.020,-0.034,15.091,1.425,79.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859496.055,1.1,1,47.39797120,8.54596530,7.972,0.051,0.017,7.972,0.059,76.0,LOITER,active,1,1,6,,-39.702,-46.655,,80.298,73.345,,received,received
1788859496.055,1.1,2,47.39797080,8.54616380,12.410,0.017,-0.005,12.331,0.341,76.0,LOITER,active,1,1,6,-39.702,,-39.478,80.298,,80.522,received,,received
1788859496.055,1.1,3,47.39797110,8.54636200,15.690,0.040,-0.046,15.690,1.117,77.0,TAKEOFF,active,1,1,6,-46.655,-39.478,,73.345,80.522,,received,received,
1788859497.098,2.1,1,47.39797260,8.54596240,8.014,0.188,-0.173,8.014,1.039,76.0,LOITER,active,1,1,14,,-39.755,-46.710,,80.245,73.290,,received,received
1788859497.098,2.1,2,47.39796880,8.54616400,12.562,-0.128,0.007,12.562,0.782,76.0,LOITER,active,1,1,14,-39.755,,-39.527,80.245,,80.473,received,,received
1788859497.098,2.1,3,47.39797220,8.54636360,16.054,0.168,0.075,16.054,1.144,77.0,TAKEOFF,active,1,1,14,-46.710,-39.527,,73.290,80.473,,received,dropped,
1788859498.137,3.1,1,47.39797590,8.54595280,8.033,0.543,-0.858,8.033,2.426,74.0,LOITER,active,1,1,20,,-40.029,-46.962,,79.971,73.038,,received,received
1788859498.137,3.1,2,47.39796240,8.54616410,12.655,-0.960,0.016,12.576,2.306,75.0,LOITER,active,1,1,20,-40.029,,-39.778,79.971,,80.222,received,,received
1788859498.137,3.1,3,47.39797610,8.54637030,16.267,0.730,0.757,16.250,2.453,75.0,LOITER,active,1,1,20,-46.962,-39.778,,73.038,80.222,,received,received,
1788859499.180,4.2,1,47.39798050,8.54593580,8.028,1.221,-2.507,7.961,4.083,74.0,LOITER,active,1,1,26,,-40.772,-47.569,,79.228,72.431,,received,received
1788859499.180,4.2,2,47.39795120,8.54616450,12.699,-2.226,0.046,12.619,3.526,75.0,LOITER,active,1,1,26,-40.772,,-40.422,79.228,,79.578,received,,received
