time,target_id,x,y,z,yaw
1788859435.055,target_1,-980.000,-520.000,0.750,0.359
1788859436.148,target_1,-971.814,-516.930,0.750,0.359
1788859437.247,target_1,-963.582,-513.843,0.750,0.359
1788859438.401,target_1,-954.938,-510.602,0.750,0.359
1788859439.603,target_1,-945.934,-507.225,0.750,0.359
1788859440.752,target_1,-937.328,-503.998,0.750,0.359
1788859441.830,target_1,-929.252,-500.969,0.750,0.359
1788859442.984,target_1,-920.609,-497.728,0.750,0.359
1788859444.882,target_1,-906.390,-492.396,0.750,0.359
1788859446.110,target_1,-897.194,-488.948,0.750,0.359
1788859447.369,target_1,-887.759,-485.410,0.750,0.359
1788859448.874,target_1,-876.483,-481.181,0.750,0.359
1788859450.205,target_1,-866.516,-477.444,0.750,0.359
1788859451.556,target_1,-856.400,-473.650,0.750,0.359
1788859452.727,target_1,-847.626,-470.360,0.750,0.359
1788859454.001,target_1,-838.078,-466.779,0.750,0.359
1788859455.109,target_1,-829.779,-463.667,0.750,0.359
1788859456.500,target_1,-819.365,-459.762,0.750,0.359
1788859457.638,target_1,-810.838,-456.564,0.750,0.359
1788859458.766,target_1,-802.390,-453.396,0.750,0.359
1788859459.893,target_1,-793.949,-450.231,0.750,0.359
1788859460.981,target_1,-785.799,-447.175,0.750,0.359
1788859462.164,target_1,-776.934,-443.850,0.750,0.359
1788859463.204,target_1,-769.143,-440.929,0.750,0.359
1788859464.242,target_1,-761.370,-438.014,0.750,0.359
1788859465.346,target_1,-753.099,-434.912,0.750,0.359
1788859466.381,target_1,-745.347,-432.005,0.750,0.359
1788859467.409,target_1,-737.547,-429.467,0.750,0.214
1788859468.469,target_1,-729.257,-427.664,0.750,0.214
1788859469.513,target_1,-721.097,-425.891,0.750,0.214
1788859470.538,target_1,-713.084,-424.149,0.750,0.214
1788859471.588,target_1,-704.875,-422.364,0.750,0.214
1788859472.641,target_1,-696.644,-420.575,0.750,0.214
1788859473.694,target_1,-688.412,-418.785,0.750,0.214
1788859474.795,target_1,-679.805,-416.914,0.750,0.214
1788859475.882,target_1,-671.311,-415.068,0.750,0.214
1788859476.951,target_1,-662.951,-413.250,0.750,0.214
1788859478.075,target_1,-654.167,-411.341,0.750,0.214
1788859479.260,target_1,-644.899,-409.326,0.750,0.214
1788859480.407,target_1,-635.936,-407.377,0.750,0.214
1788859481.522,target_1,-627.219,-405.482,0.750,0.214
1788859482.588,target_1,-618.880,-403.670,0.750,0.214
1788859483.651,target_1,-610.573,-401.864,0.750,0.214
1788859484.682,target_1,-602.516,-400.112,0.750,0.214
1788859485.709,target_1,-594.486,-398.366,0.750,0.214
1788859486.753,target_1,-586.327,-396.593,0.750,0.214
1788859487.799,target_1,-578.151,-394.815,0.750,0.214
1788859488.821,target_1,-570.155,-393.077,0.750,0.214
1788859489.889,target_1,-561.809,-391.263,0.750,0.214
1788859490.940,target_1,-553.593,-389.477,0.750,0.214
1788859491.971,target_1,-545.537,-387.725,0.750,0.214
1788859493.031,target_1,-537.248,-385.923,0.750,0.214
1788859494.063,target_1,-529.178,-384.169,0.750,0.214
1788859495.091,target_1,-521.139,-382.422,0.750,0.214
1788859496.153,target_1,-512.837,-380.617,0.750,0.214
1788859497.195,target_1,-505.147,-377.573,0.750,0.464
1788859498.281,target_1,-497.370,-373.685,0.750,0.464
1788859499.301,target_1,-490.072,-370.036,0.750,0.464
1788859500.329,target_1,-482.718,-366.359,0.750,0.464
1788859501.388,target_1,-475.144,-362.572,0.750,0.464
1788859502.450,target_1,-467.542,-358.771,0.750,0.464
1788859503.512,target_1,-459.942,-354.971,0.750,0.464
1788859504.542,target_1,-452.570,-351.285,0.750,0.464
1788859505.554,target_1,-445.331,-347.665,0.750,0.464
1788859506.575,target_1,-438.026,-344.013,0.750,0.464
1788859507.616,target_1,-430.577,-340.288,0.750,0.464
1788859508.679,target_1,-422.974,-336.487,0.750,0.464
1788859509.760,target_1,-415.235,-332.618,0.750,0.464
1788859510.777,target_1,-407.960,-328.980,0.750,0.464
1788859511.810,target_1,-400.569,-325.285,0.750,0.464
1788859512.837,target_1,-393.221,-321.611,0.750,0.464
1788859513.872,target_1,-385.813,-317.906,0.750,0.464
1788859514.910,target_1,-378.390,-314.195,0.750,0.464
1788859515.936,target_1,-371.048,-310.524,0.750,0.464
1788859516.948,target_1,-363.806,-306.903,0.750,0.464
1788859518.000,target_1,-356.274,-303.137,0.750,0.464
1788859519.042,target_1,-348.821,-299.410,0.750,0.464
1788859520.094,target_1,-341.291,-295.645,0.750,0.464
1788859521.145,target_1,-333.771,-291.885,0.750,0.464
1788859522.548,target_1,-323.731,-286.866,0.750,0.464
1788859523.696,target_1,-315.522,-282.761,0.750,0.464
1788859524.841,target_1,-307.322,-278.661,0.750,0.464
