time,uav_id,role,x,y,z,latitude,longitude,altitude,velocity,battery,mode,status,armed
1788859435.055,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859435.055,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859435.055,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859436.148,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859436.148,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859436.148,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859437.247,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859437.247,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859437.247,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859438.401,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859438.401,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859438.401,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859439.603,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859439.603,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859439.603,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859440.752,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859440.752,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859440.752,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859441.830,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859441.830,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859441.830,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859442.984,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
