time,source,destination,rssi_dbm,snr_db,packet_received,pdr,latency_ms,drop_reason,condition
1788859678.263,1,2,-39.317,80.683,1,1.000,399.121,,NORMAL
1788859678.263,1,3,-46.391,73.609,1,1.000,406.043,,NORMAL
1788859678.263,2,1,-39.317,80.683,1,1.000,406.929,,NORMAL
1788859678.263,2,3,-39.317,80.683,1,1.000,395.274,,NORMAL
1788859678.264,3,1,-46.391,73.609,1,1.000,409.107,,NORMAL
1788859678.264,3,2,-39.317,80.683,1,1.000,398.254,,NORMAL
1788859679.362,1,2,-39.317,80.683,0,0.500,401.876,channel_loss,DEGRADED
1788859679.362,1,3,-46.391,73.609,1,1.000,397.078,,NORMAL
1788859679.362,3,2,-39.317,80.683,1,1.000,407.219,,NORMAL
1788859679.363,1,3,-46.391,73.609,1,1.000,409.739,,NORMAL
1788859679.363,2,1,-39.317,80.683,1,1.000,414.606,,NORMAL
1788859679.363,2,3,-39.317,80.683,1,1.000,406.185,,NORMAL
1788859679.363,3,1,-46.391,73.609,1,1.000,407.514,,NORMAL
1788859679.363,3,2,-39.317,80.683,1,1.000,406.691,,NORMAL
1788859680.388,1,2,-39.308,80.692,1,0.667,396.061,,DEGRADED
1788859680.388,1,3,-46.377,73.623,1,1.000,400.932,,NORMAL
1788859680.388,2,1,-39.308,80.692,1,1.000,399.800,,NORMAL
1788859680.389,2,3,-39.298,80.702,1,1.000,400.704,,NORMAL
1788859680.389,3,1,-46.377,73.623,1,1.000,402.441,,NORMAL
1788859680.389,3,2,-39.298,80.702,1,1.000,399.334,,NORMAL
1788859681.415,1,2,-39.303,80.697,1,0.750,413.877,,DEGRADED
1788859681.416,1,3,-46.375,73.625,1,1.000,407.327,,NORMAL
1788859681.416,2,1,-39.303,80.697,1,1.000,409.727,,NORMAL
1788859681.416,2,3,-39.298,80.702,1,1.000,402.733,,NORMAL
1788859681.416,3,1,-46.375,73.625,0,0.750,407.944,channel_loss,DEGRADED
1788859681.416,3,2,-39.298,80.702,1,1.000,408.836,,NORMAL
1788859681.417,2,1,-39.303,80.697,1,1.000,410.664,,NORMAL
1788859681.417,3,2,-39.298,80.702,1,1.000,395.786,,NORMAL
1788859682.452,1,2,-39.303,80.697,1,0.800,400.499,,DEGRADED
1788859682.452,1,3,-46.372,73.628,1,1.000,414.002,,NORMAL
1788859682.452,2,1,-39.303,80.697,1,1.000,401.438,,NORMAL
1788859682.452,2,3,-39.293,80.707,1,1.000,403.057,,NORMAL
1788859682.453,3,1,-46.372,73.628,1,0.800,404.321,,DEGRADED
1788859682.453,3,2,-39.293,80.707,1,1.000,400.077,,NORMAL
1788859683.469,1,2,-39.303,80.697,1,0.800,400.399,,DEGRADED
1788859683.469,1,3,-46.372,73.628,1,1.000,413.101,,NORMAL
1788859683.470,2,1,-39.303,80.697,1,1.000,399.530,,NORMAL
1788859683.470,2,3,-39.293,80.707,0,0.800,405.335,channel_loss,DEGRADED
1788859683.470,2,1,-39.303,80.697,1,1.000,396.086,,NORMAL
1788859683.471,1,3,-46.372,73.628,1,1.000,407.693,,NORMAL
1788859683.471,3,1,-46.372,73.628,1,0.800,403.587,,DEGRADED
1788859683.472,3,2,-39.293,80.707,1,1.000,402.776,,NORMAL
1788859684.506,1,2,-39.303,80.697,0,0.800,405.726,channel_loss,DEGRADED
1788859684.506,1,3,-46.372,73.628,0,0.833,412.360,channel_loss,DEGRADED
1788859684.507,1,3,-46.372,73.628,1,0.857,409.559,,NORMAL
1788859684.507,2,1,-39.303,80.697,1,1.000,405.883,,NORMAL
1788859684.508,2,3,-39.293,80.707,1,0.800,407.963,,DEGRADED
1788859684.508,3,1,-46.372,73.628,1,0.800,403.839,,DEGRADED
1788859684.508,3,2,-39.293,80.707,1,1.000,414.220,,NORMAL
1788859685.548,1,2,-39.303,80.697,1,0.800,400.412,,DEGRADED
1788859685.549,1,3,-46.375,73.625,1,0.857,398.717,,NORMAL
1788859685.549,2,1,-39.303,80.697,1,1.000,412.554,,NORMAL
1788859685.549,2,3,-39.298,80.702,1,0.800,407.923,,DEGRADED
1788859685.549,3,1,-46.375,73.625,1,0.800,398.201,,DEGRADED
1788859685.549,3,2,-39.298,80.702,1,1.000,405.932,,NORMAL
1788859686.587,1,2,-39.303,80.697,1,0.800,405.751,,DEGRADED
1788859686.587,1,3,-46.380,73.620,1,0.857,401.627,,NORMAL
1788859686.587,2,1,-39.303,80.697,1,1.000,413.726,,NORMAL
1788859686.587,2,3,-39.308,80.692,1,0.800,411.777,,DEGRADED
1788859686.588,3,1,-46.380,73.620,1,1.000,396.303,,NORMAL
1788859686.588,3,2,-39.308,80.692,1,1.000,414.083,,NORMAL
1788859687.628,1,2,-39.298,80.702,1,0.800,404.864,,DEGRADED
1788859687.628,1,3,-46.382,73.618,1,0.857,410.356,,NORMAL
1788859687.629,2,1,-39.298,80.702,1,1.000,397.712,,NORMAL
1788859687.629,2,3,-39.318,80.682,1,0.800,406.140,,DEGRADED
1788859687.629,3,1,-46.382,73.618,1,1.000,412.593,,NORMAL
1788859687.629,3,2,-39.318,80.682,1,1.000,399.380,,NORMAL
1788859688.676,1,2,-39.303,80.697,1,0.800,409.743,,DEGRADED
1788859688.676,1,3,-46.380,73.620,1,0.857,401.378,,NORMAL
1788859688.677,2,1,-39.303,80.697,0,0.800,408.142,channel_loss,DEGRADED
1788859688.677,2,3,-39.308,80.692,1,1.000,405.496,,NORMAL
1788859688.677,3,1,-46.380,73.620,1,1.000,399.638,,NORMAL
1788859688.677,2,3,-39.308,80.692,1,1.000,406.910,,NORMAL
1788859688.678,3,1,-46.380,73.620,1,1.000,399.548,,NORMAL
1788859688.678,3,2,-39.308,80.692,1,1.000,407.766,,NORMAL
1788859689.680,1,2,-39.303,80.697,1,1.000,413.252,,NORMAL
1788859689.681,1,3,-46.375,73.625,1,1.000,396.561,,NORMAL
1788859689.681,2,1,-39.303,80.697,1,0.800,408.524,,DEGRADED
1788859689.681,2,3,-39.298,80.702,1,1.000,397.790,,NORMAL
1788859689.681,3,1,-46.375,73.625,0,0.833,406.565,channel_loss,DEGRADED
1788859689.681,3,2,-39.298,80.702,1,1.000,410.836,,NORMAL
1788859689.681,2,1,-39.303,80.697,1,0.800,398.952,,DEGRADED
1788859689.682,3,2,-39.298,80.702,1,1.000,403.765,,NORMAL
1788859690.716,1,2,-39.298,80.702,1,1.000,404.485,,NORMAL
1788859690.716,1,3,-46.367,73.633,1,1.000,408.611,,NORMAL
1788859690.716,2,1,-39.298,80.702,0,0.667,397.112,channel_loss,DEGRADED
1788859690.716,2,3,-39.288,80.712,1,1.000,401.930,,NORMAL
1788859690.716,3,1,-46.367,73.633,1,0.833,400.117,,DEGRADED
1788859690.717,2,3,-39.288,80.712,1,1.000,404.116,,NORMAL
1788859690.717,3,1,-46.367,73.633,1,0.833,400.715,,DEGRADED
1788859690.717,3,2,-39.288,80.712,1,1.000,413.609,,NORMAL
1788859691.759,1,2,-39.298,80.702,1,1.000,412.371,,NORMAL
1788859691.759,1,3,-46.364,73.636,1,1.000,396.156,,NORMAL
