timestamp,source,destination,route,state,reason
1788859677.161,1,2,1->2,direct,
1788859677.161,1,3,1->3,direct,
1788859677.161,2,1,2->1,direct,
1788859677.162,2,3,2->3,direct,
1788859677.162,3,1,3->1,direct,
1788859677.162,3,2,3->2,direct,
1788859679.362,1,2,1->3->2,relay,direct_failed
1788859681.417,3,1,3->2->1,relay,direct_failed
1788859683.471,2,3,2->1->3,relay,direct_failed
1788859684.506,1,2,1->2,down,no_relay
1788859685.548,1,2,1->2,direct,
1788859688.677,2,1,2->3->1,relay,direct_failed
1788859691.759,2,1,2->1,down,no_relay
1788859692.809,2,1,2->1,direct,
1788859695.927,1,3,1->2->3,relay,direct_failed
1788859703.138,2,3,2->1->3,down,relay_failed
1788859703.139,3,1,3->1,down,no_relay
1788859703.139,3,2,3->1->2,relay,direct_failed
1788859704.188,3,1,3->1,direct,
1788859725.750,2,3,2->1->3,relay,direct_failed
1788859736.072,1,2,1->3->2,down,relay_failed
1788859741.219,1,2,1->3->2,relay,direct_failed
1788859744.291,2,3,2->3,down,no_relay
1788859745.297,2,3,2->3,direct,
1788859748.359,1,3,1->3,down,no_relay
1788859749.407,1,3,1->3,direct,
1788859751.461,2,1,2->3->1,down,relay_failed
1788859758.649,2,1,2->3->1,relay,direct_failed
1788859774.573,3,2,3->1->2,down,relay_failed
1788859778.710,3,2,3->1->2,relay,direct_failed
1788859783.840,3,1,3->2->1,down,relay_failed
1788859787.983,3,1,3->2->1,relay,direct_failed
1788859790.033,1,3,1->3,down,no_relay
1788859791.071,1,3,1->3,direct,
1788859802.289,1,3,1->3,down,no_relay
1788859803.315,1,3,1->3,direct,
1788859804.330,2,1,2->3->1,down,relay_failed
1788859810.553,2,1,2->3->1,relay,direct_failed
1788859810.554,2,3,2->3,down,no_relay
1788859811.584,2,3,2->3,direct,
1788859813.638,3,1,3->2->1,down,relay_failed
1788859814.653,1,2,1->2,down,no_relay
1788859815.700,1,2,1->2,direct,
1788859821.844,3,2,3->2,down,no_relay
