time,event_type,entity_id,details
1788859920.693,ScenarioStarted,audisys,seed=42
1788859920.693,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859920.693,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859920.693,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859921.808,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859921.808,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859921.808,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859921.808,RadioObservation,1->2,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859921.808,RadioObservation,1->3,"condition=NORMAL, rssi=-46.391, snr=73.609, pdr=1.00"
1788859921.808,RadioObservation,2->1,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859921.808,RadioObservation,2->3,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859921.808,RadioObservation,3->1,"condition=NORMAL, rssi=-46.391, snr=73.609, pdr=1.00"
1788859921.808,RadioObservation,3->2,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859922.913,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859922.913,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859922.913,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859922.913,RadioObservation,1->2,"condition=DEGRADED, rssi=-39.317, snr=80.683, pdr=0.50"
1788859922.913,RadioObservation,1->3,"condition=NORMAL, rssi=-46.391, snr=73.609, pdr=1.00"
1788859922.913,RadioObservation,3->2,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859922.913,RadioObservation,1->3,"condition=NORMAL, rssi=-46.391, snr=73.609, pdr=1.00"
1788859922.913,RadioObservation,2->1,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859922.913,RadioObservation,2->3,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859922.913,RadioObservation,3->1,"condition=NORMAL, rssi=-46.391, snr=73.609, pdr=1.00"
1788859922.913,RadioObservation,3->2,"condition=NORMAL, rssi=-39.317, snr=80.683, pdr=1.00"
1788859922.913,RadioObservation,1->2,"condition=DEGRADED, rssi=-39.298, snr=80.702, pdr=0.67"
1788859922.913,RadioObservation,1->3,"condition=NORMAL, rssi=-46.375, snr=73.625, pdr=1.00"
1788859922.913,RadioObservation,2->1,"condition=NORMAL, rssi=-39.298, snr=80.702, pdr=1.00"
1788859922.913,RadioObservation,2->3,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859922.913,RadioObservation,3->1,"condition=NORMAL, rssi=-46.375, snr=73.625, pdr=1.00"
1788859922.913,RadioObservation,3->2,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859924.065,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859924.065,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859924.065,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859924.065,RadioObservation,1->2,"condition=DEGRADED, rssi=-39.303, snr=80.697, pdr=0.75"
1788859924.065,RadioObservation,1->3,"condition=NORMAL, rssi=-46.377, snr=73.623, pdr=1.00"
1788859924.065,RadioObservation,2->1,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859924.065,RadioObservation,2->3,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859924.065,RadioObservation,3->1,"condition=DEGRADED, rssi=-46.377, snr=73.623, pdr=0.75"
1788859924.065,RadioObservation,3->2,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859924.065,RadioObservation,2->1,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859924.065,RadioObservation,3->2,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859925.229,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859925.229,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859925.229,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859925.229,RadioObservation,1->2,"condition=DEGRADED, rssi=-39.303, snr=80.697, pdr=0.80"
1788859925.229,RadioObservation,1->3,"condition=NORMAL, rssi=-46.375, snr=73.625, pdr=1.00"
1788859925.229,RadioObservation,2->1,"condition=NORMAL, rssi=-39.303, snr=80.697, pdr=1.00"
1788859925.229,RadioObservation,2->3,"condition=NORMAL, rssi=-39.298, snr=80.702, pdr=1.00"
1788859925.229,RadioObservation,3->1,"condition=DEGRADED, rssi=-46.375, snr=73.625, pdr=0.80"
1788859925.229,RadioObservation,3->2,"condition=NORMAL, rssi=-39.298, snr=80.702, pdr=1.00"
1788859926.365,UAVStateChanged,uav_1,"role=Scout, x=0.0, y=0.0, z=0.0"
1788859926.365,UAVStateChanged,uav_2,"role=Relay, x=0.0, y=0.0, z=0.0"
1788859926.365,UAVStateChanged,uav_3,"role=Designator, x=0.0, y=0.0, z=0.0"
1788859926.365,RadioObservation,1->2,"condition=DEGRADED, rssi=-39.308, snr=80.692, pdr=0.80"
1788859926.365,RadioObservation,1->3,"condition=NORMAL, rssi=-46.375, snr=73.625, pdr=1.00"
1788859926.365,RadioObservation,2->1,"condition=NORMAL, rssi=-39.308, snr=80.692, pdr=1.00"
1788859926.365,RadioObservation,2->3,"condition=DEGRADED, rssi=-39.293, snr=80.707, pdr=0.80"
1788859926.365,RadioObservation,2->1,"condition=NORMAL, rssi=-39.308, snr=80.692, pdr=1.00"
1788859926.365,RadioObservation,1->3,"condition=NORMAL, rssi=-46.375, snr=73.625, pdr=1.00"
1788859926.365,RadioObservation,3->1,"condition=DEGRADED, rssi=-46.375, snr=73.625, pdr=0.80"
